Word,Freq_SUBTLEXUS,BigramF_Avg_C_Log,OLD20,PLD20,Phonographic_N,Sem_N_D,NMorph,,TrigramF_Avg_C_Log,STRING,N2_F,N3_F,N2_F_log10,N3_F_log10,BigramF_Avg_C_Log_SCOPE,TrigramF_Avg_C_Log_SCOPE,
everyday,2.745075,2.4831021,3.65,3.75,0,0.6175025,2,,2.160588568,everyday,304.16,144.74,2.4831021,2.160588568,2.484528,2.163579,
everyone,4.090787,2.612391755,3.1,3.95,0,0.6548566,2,,2.303066398,everyone,409.63,200.94,2.612391755,2.303066398,2.613451,2.305222,
everything,4.523746,2.845426739,3.9,3.95,0,0.6623958,2,,2.701213843,everything,700.53,502.59,2.845426739,2.701213843,2.846046,2.702077,
everywhere,3.421933,2.4363217,4.7,4.4,0,0.6006391,2,,2.246597049,everywhere,273.1,176.44,2.4363217,2.246597049,2.437909,2.249052,
evidence,3.637089,2.846033866,2.6,2.75,0,0.6706578,2,,2.604852196,evidence,701.51,402.58,2.846033866,2.604852196,2.846653,2.60593,
evidently,2.475671,2.622245117,3.35,3.8,0,0.5620539,3,,2.011781831,evidently,419.03,102.75,2.622245117,2.011781831,2.62328,2.015988,
evil,3.571942,2.872855245,1.9,1.75,0,0.6395658,1,,1.742017747,evil,746.2,55.21,2.872855245,1.742017747,2.873437,1.749814,
evils,1.863323,3.019984012,1.9,1.85,0,0.4532378,2,,1.41564098,evils,1047.09,26.04,3.019984012,1.41564098,3.020399,1.432007,
evolution,2.436163,2.953029618,2.4,2.6,0,0.640085,1,,2.698605044,evolution,897.49,499.58,2.953029618,2.698605044,2.953513,2.699473,
ewe,1.230449,1.079904468,1.7,1,0,0.301829,1,,0.117271296,ewe,12.02,1.31,1.079904468,0.117271296,1.114611,0.363612,
exacerbate,0.90309,2.407407902,3.45,4.05,0,0.3528716,3,,1.550350672,exacerbate,255.51,35.51,2.407407902,1.550350672,2.409104,1.562412,
exact,3.062582,2.669679416,1.85,2.2,0,0.642194,1,,1.599664779,exact,467.39,39.78,2.669679416,1.599664779,2.670608,1.610447,
exactly,4.100646,2.881156321,2.85,3.5,0,0.6419708,2,,2.392802437,exactly,760.6,247.06,2.881156321,2.392802437,2.881727,2.394557,
exaggerate,2,2.310735784,3.5,4.25,0,0.3204592,1,,1.718501689,exaggerate,204.52,52.3,2.310735784,1.718501689,2.312854,1.726727,
examination,2.450249,2.911445267,2.8,3.6,0,0.6205615,2,,2.743368635,examination,815.54,553.82,2.911445267,2.743368635,2.911977,2.744152,
examined,2.440909,3.179273087,2.65,3.2,2,0.605431,2,,2.460762574,examined,1511.03,288.91,3.179273087,2.460762574,3.17956,2.462263,
example,3.184123,2.714136883,2.7,3.15,0,0.6923038,1,,2.429041328,example,517.77,268.56,2.714136883,2.429041328,2.714975,2.430655,
excellence,2.130334,2.625394774,3.65,2.65,0,0.5985581,2,,2.315613532,excellence,422.08,206.83,2.625394774,2.315613532,2.626422,2.317708,
excellent,3.429591,2.843525532,3.4,2.7,0,0.6523134,2,,2.442526802,excellent,697.47,277.03,2.843525532,2.442526802,2.844148,2.444092,
except,3.755646,2.485565279,2.35,2.2,0,0.6816745,2,,2.209273673,except,305.89,161.91,2.485565279,2.209273673,2.486983,2.211948,
excess,2.1959,2.649471163,2.3,2.4,0,0.6138464,2,,2.156488576,excess,446.14,143.38,2.649471163,2.156488576,2.650444,2.159507,
exchange,3.01368,2.537957544,2.75,3.15,0,0.6729344,2,,1.799271608,exchange,345.11,62.99,2.537957544,1.799271608,2.539214,1.806112,
excite,2.041393,2.580092065,2.2,2,0,0.3726061,2,,1.728678367,excite,380.27,53.54,2.580092065,1.728678367,2.581233,1.736715,
excited,3.394452,3.304680059,2,2.2,0,0.5692021,3,,2.541104755,excited,2016.88,347.62,3.304680059,2.541104755,3.304895,2.542352,
excitement,2.798651,2.783245925,3.65,3.3,0,0.5548231,3,,2.553057325,excitement,607.08,357.32,2.783245925,2.553057325,2.783961,2.554271,
exciting,3.249687,3.33669783,2.45,2.4,1,0.5811235,3,,3.045573311,exciting,2171.19,1110.64,3.33669783,3.045573311,3.336898,3.045964,
exclamation,1.462398,2.875853851,2.75,2.95,0,0.3732247,3,,2.694271673,exclamation,751.37,494.62,2.875853851,2.694271673,2.876431,2.695149,
excuse,4.273557,2.629491149,2.15,2.85,0,0.544391,1,,1.918344929,excuse,426.08,82.86,2.629491149,1.918344929,2.630509,1.923555,
execute,2.453318,2.516892182,2.7,3.65,0,0.5713505,2,,1.013679697,execute,328.77,10.32,2.516892182,1.013679697,2.518211,1.053846,
execution,2.697229,2.997604787,2.4,3.55,0,0.6315327,3,,2.713070326,execution,994.5,516.5,2.997604787,2.713070326,2.998041,2.71391,
executive,2.733999,2.819036963,2.7,4.25,0,0.6603672,3,,2.242392331,executive,659.23,174.74,2.819036963,2.242392331,2.819695,2.244871,
exercise,2.956649,2.690098574,2.45,3.3,0,0.6376756,1,,2.104179719,exercise,489.89,127.11,2.690098574,2.104179719,2.690984,2.107583,
exhale,1.934498,2.988483149,2.55,2.8,0,0.3010076,2,,1.468199586,exhale,973.83,29.39,2.988483149,1.468199586,2.988929,1.482731,
exhaust,2.041393,2.88552518,2.85,2.2,0,0.574208,1,,2.386498966,exhaust,768.29,243.5,2.88552518,2.386498966,2.88609,2.388279,
exhaustion,1.919078,2.967763198,3.15,3.55,0,0.5064197,2,,2.712944181,exhaustion,928.46,516.35,2.967763198,2.712944181,2.968231,2.713784,
exhibition,2.318063,2.966512485,2.95,3.1,0,0.6352869,3,,2.739073688,exhibition,925.79,548.37,2.966512485,2.739073688,2.966981,2.739865,
exhilarate,0.4771213,2.313044233,4.15,3.65,0,0.3275955,1,,1.689042339,exhilarate,205.61,48.87,2.313044233,1.689042339,2.315151,1.697839,
exist,3.169674,2.849554534,1.85,2,0,0.6674929,2,,1.951337519,exist,707.22,89.4,2.849554534,1.951337519,2.850168,1.956168,
exit,2.900367,2.113107367,1.8,2.55,0,0.6207808,1,,1.027349608,exit,129.75,10.65,2.113107367,1.027349608,2.116442,1.066326,
exotic,2.487138,2.444856387,2.8,3.1,0,0.5890994,2,,1.539703239,exotic,278.52,34.65,2.444856387,1.539703239,2.446413,1.55206,
expand,2.252853,2.816599197,2.5,2.05,1,0.6307423,1,,2.028652574,expand,655.54,106.82,2.816599197,2.028652574,2.817261,2.032699,
expansion,1.94939,2.917610526,2.7,2.75,0,0.6611026,2,,2.601505913,expansion,827.2,399.49,2.917610526,2.601505913,2.918135,2.602592,
expect,3.724276,2.701878701,2.05,2.15,0,0.5979326,1,,2.415023456,expect,503.36,260.03,2.701878701,2.415023456,2.702741,2.41669,
expectations,2.429752,2.349782453,3.5,3.9,0,0.5973449,3,,2.236184443,expectations,223.76,172.26,2.349782453,2.236184443,2.351719,2.238698,
expected,3.229682,3.200045706,2.25,2.4,0,0.673811,2,,2.612465964,expected,1585.06,409.7,3.200045706,2.612465964,3.20032,2.613525,
expecting,3.266467,3.200377111,2.4,2.55,0,0.561699,2,,2.886603514,expecting,1586.27,770.2,3.200377111,2.886603514,3.200651,2.887167,
expects,2.382017,2.742355863,2.35,2.45,0,0.5449953,2,,2.208333844,expects,552.53,161.56,2.742355863,2.208333844,2.743141,2.211014,
expedition,2.462398,3.011316643,2.75,2.8,0,0.6208624,4,,2.793825294,expedition,1026.4,622.05,3.011316643,2.793825294,3.01174,2.794523,
expensive,3.15412,2.747473956,2.5,2.55,2,0.6386542,3,,2.400520721,expensive,559.08,251.49,2.747473956,2.400520721,2.74825,2.402244,
experience,3.489818,2.871380262,2.85,3.05,0,0.6835713,2,,2.592565338,experience,743.67,391.35,2.871380262,2.592565338,2.871964,2.593674,
experiment,2.917506,2.926429914,3.1,3.6,0,0.6366097,2,,2.65856465,experiment,844.17,455.58,2.926429914,2.65856465,2.926944,2.659517,
expert,3.052694,2.757813419,1.95,2.7,0,0.6428126,1,,2.154545692,expert,572.55,142.74,2.757813419,2.154545692,2.758571,2.157578,
expire,1.672098,2.840118646,2.05,2.15,0,0.4238785,2,,2.047625278,expire,692.02,111.59,2.840118646,2.047625278,2.840746,2.0515,
explain,3.75366,2.773918029,2.7,2.6,0,0.6329252,1,,2.434377261,explain,594.18,271.88,2.773918029,2.434377261,2.774648,2.435972,
explaining,2.547775,2.785721236,3.3,2.7,0,0.6092285,2,,2.52179165,explaining,610.55,332.5,2.785721236,2.52179165,2.786432,2.523096,
explanation,3.0103,2.9057743,2.8,2.85,0,0.6262385,2,,2.741411625,explanation,804.96,551.33,2.9057743,2.741411625,2.906313,2.742199,
explode,2.69897,2.617094743,2.35,2.3,0,0.538437,2,,1.971461405,explode,414.09,93.64,2.617094743,1.971461405,2.618142,1.976075,
exploration,1.986772,2.911738056,2.65,2.75,0,0.6146143,2,,2.730523882,exploration,816.09,537.68,2.911738056,2.730523882,2.91227,2.731331,
explore,2.502427,2.779322265,2.15,2.4,0,0.6073071,1,,1.995547449,explore,601.62,98.98,2.779322265,1.995547449,2.780044,1.999913,
explorer,1.991226,2.942380146,2.4,2.95,2,0.5794734,2,,1.944433318,explorer,875.75,87.99,2.942380146,1.944433318,2.942876,1.949341,
explosion,2.925312,2.912785158,2.7,2.9,0,0.6122867,3,,2.607905169,explosion,818.06,405.42,2.912785158,2.607905169,2.913316,2.608975,
explosive,2.434569,2.683767261,2.55,2.6,0,0.5934028,3,,2.333386812,explosive,482.8,215.47,2.683767261,2.333386812,2.684666,2.335398,
explosives,2.521138,2.629939401,3.1,3.45,0,0.5695368,4,,2.128011333,explosives,426.52,134.28,2.629939401,2.128011333,2.630956,2.131234,
export,1.819544,2.797586045,1.85,2.75,0,0.6048904,2,,2.220892249,export,627.46,166.3,2.797586045,2.220892249,2.798278,2.223496,
expose,2.557507,2.763689989,2,2.25,0,0.5677659,2,,1.93991842,expose,580.35,87.08,2.763689989,1.93991842,2.764438,1.944877,
exposing,1.977724,3.25739295,2.65,2.7,0,0.5623457,3,,2.991806225,exposing,1808.81,981.31,3.25739295,2.991806225,3.257633,2.992249,
exposure,2.465383,2.530430236,2.9,2.7,0,0.6332966,3,,2.212081016,exposure,339.18,162.96,2.530430236,2.212081016,2.531709,2.214738,
express,2.961421,2.792860754,2.3,2.5,0,0.6588808,2,,2.393101169,express,620.67,247.23,2.792860754,2.393101169,2.79356,2.394854,
expression,2.814248,3.002464132,2.6,2.7,0,0.6399387,3,,2.811427535,expression,1005.69,647.78,3.002464132,2.811427535,3.002896,2.812097,
extend,2.515874,2.931717149,2.25,2.3,2,0.6306907,2,,2.241919853,extend,854.51,174.55,2.931717149,2.241919853,2.932225,2.244401,
extension,2.440909,2.980603238,2.65,2.6,0,0.6517658,3,,2.64482249,extension,956.32,441.39,2.980603238,2.64482249,2.981057,2.645805,
extensive,2.278754,2.793133559,2.65,2.7,1,0.6749426,3,,2.400417095,extensive,621.06,251.43,2.793133559,2.400417095,2.793832,2.402141,
extent,2.318063,2.808899355,1.9,2.45,1,0.6547105,2,,2.486529654,extent,644.02,306.57,2.808899355,2.486529654,2.809573,2.487944,
extinct,2.11059,2.799939876,2.85,3.05,0,0.5643601,1,,1.338456494,extinct,630.87,21.8,2.799939876,1.338456494,2.800628,1.357935,
extinguish,1.643453,2.217431299,4.3,4.15,0,0.3684947,1,,0.962842681,extinguish,164.98,9.18,2.217431299,0.962842681,2.220056,1.007748,
extinguisher,1.897627,1.757244151,5,4.95,1,0.3028376,2,,0.965671971,extinguisher,57.18,9.24,1.757244151,0.965671971,1.764774,1.0103,
extra,3.479719,2.134240876,2.45,2.8,0,0.6597131,1,,1.905634001,extra,136.22,80.47,2.134240876,1.905634001,2.137417,1.910998,
extraordinary,2.887617,1.913230871,6.2,6.2,0,0.6210874,3,,1.80126647,extraordinary,81.89,63.28,1.913230871,1.80126647,1.918502,1.808076,
extras,2.025306,2.260214538,2.7,2.85,0,0.5242401,2,,1.510813011,extras,182.06,32.42,2.260214538,1.510813011,2.262593,1.524006,
extremely,3.083144,2.808197464,3.45,3.65,0,0.6759562,2,,2.148479258,extremely,642.98,140.76,2.808197464,2.148479258,2.808872,2.151554,
eye,3.756027,2.143670433,1.45,1,0,0.6627476,1,,2.113709438,eye,139.21,129.93,2.143670433,2.113709438,2.146779,2.117039,
eyeball,1.977724,1.98668218,2.85,2.5,0,0.3368802,2,,1.123851641,eyeball,96.98,13.3,1.98668218,1.123851641,1.991137,1.155336,
eyebrow,1.857332,1.897021956,3.3,3,0,0.3484624,2,,0.913283902,eyebrow,78.89,8.19,1.897021956,0.913283902,1.902492,0.9633155,
eyedrop,0.60206,2.081023086,3.25,3,0,0.2805272,2,,0.550228353,eyedrop,120.51,3.55,2.081023086,0.550228353,2.084612,0.6580114,
eyedropper,0.90309,1.711554168,NaN,NaN,NaN,NaN,NaN,,0.357934847,eyedropper,51.47,2.28,1.711554168,0.357934847,NaN,NaN,
eyeglass,0.60206,2.278181785,3.3,2.8,0,0.2463445,2,,0.736396502,eyeglass,189.75,5.45,2.278181785,0.736396502,2.280465,0.8095597,
eyeglasses,1.544068,2.411703863,3.95,3.7,0,0.3309572,3,,1.311541958,eyeglasses,258.05,20.49,2.411703863,1.311541958,2.413384,1.332236,
eyelash,1.653213,2.456533037,2.7,2.7,0,0.2033742,2,,1.105850674,eyelash,286.11,12.76,2.456533037,1.105850674,2.458048,1.138618,
eyelid,1.255273,2.229886529,2.75,2.7,0,0.3871486,2,,0.674861141,eyelid,169.78,4.73,2.229886529,0.674861141,2.232437,0.7581546,
eyes,4.053078,2.88145884,1.8,1,2,0.6482977,2,,2.622587004,eyes,761.13,419.36,2.88145884,2.622587004,2.882029,2.623621,
eyesight,2,2.479819955,3.45,2.8,0,0.4360625,2,,1.876102321,eyesight,301.87,75.18,2.479819955,1.876102321,2.481256,1.881841,
eyesore,1.278754,2.643640172,3.1,2.85,0,0.2416358,2,,1.111262514,eyesore,440.19,12.92,2.643640172,1.111262514,2.644626,1.143639,
fabric,2.390935,2.700288257,2.8,2.55,0,0.5851346,1,,1.266231697,fabric,501.52,18.46,2.700288257,1.266231697,2.701153,1.289143,
fabulous,3.019947,2.305974414,3.15,2.95,0,0.5360268,2,,1.79740605,fabulous,202.29,62.72,2.305974414,1.79740605,2.308116,1.804276,
face,4.168733,3.294554399,1.2,1,10,0.6805008,1,,2.878745779,face,1970.4,756.39,3.294554399,2.878745779,3.294775,2.87932,
faced,2.506505,2.983563145,1.55,1.05,5,0.6551468,2,,2.13392194,faced,962.86,136.12,2.983563145,2.13392194,2.984014,2.137101,
facedown,1.278754,2.168025809,NaN,NaN,NaN,NaN,NaN,,0.869818208,facedown,147.24,7.41,2.168025809,0.869818208,NaN,NaN,
faces,3.134814,3.067714192,1.4,1.55,5,0.6376038,2,,2.161008437,faces,1168.73,144.88,3.067714192,2.161008437,3.068086,2.163996,
facetious,0.845098,2.802787404,3.05,3,0,0.217221,1,,2.321950363,facetious,635.02,209.87,2.802787404,2.321950363,2.803471,2.324015,
facial,2.468347,2.932509278,2.2,1.85,1,0.568487,2,,2.446475032,facial,856.07,279.56,2.932509278,2.446475032,2.933016,2.448026,
facility,2.859739,2.728426835,2.6,2.45,0,0.655902,2,,2.277655048,facility,535.09,189.52,2.728426835,2.277655048,2.729238,2.279941,
fact,3.944581,3.225117943,1.55,1.25,3,0.6929596,1,,2.84132818,fact,1679.26,693.95,3.225117943,2.84132818,3.225376,2.841954,
factor,2.569374,2.784995086,1.85,1.85,0,0.6475103,2,,2.239449641,factor,609.53,173.56,2.784995086,2.239449641,2.785707,2.241945,
factory,2.933487,2.83843348,2.55,2.65,0,0.6537872,2,,2.357324883,factory,689.34,227.68,2.83843348,2.357324883,2.839063,2.359228,
facts,3.144263,2.700167006,1.75,1.8,3,0.6250769,2,,2.008642748,facts,501.38,102.01,2.700167006,2.008642748,2.701032,2.012879,
faculty,2.396199,2.625230112,2.65,2.85,0,0.6257018,2,,1.876910311,faculty,421.92,75.32,2.625230112,1.876910311,2.626258,1.882638,
fad,1.60206,3.571883446,1.15,1,14,0.4010616,1,,0.522444234,fad,3731.5,3.33,3.571883446,0.522444234,3.572,0.6364879,
fade,2.457882,3.153836198,1.35,1,10,0.5271686,1,,2.718152785,fade,1425.07,522.58,3.153836198,2.718152785,3.154141,2.718983,
fag,2.440909,2.545208121,0,0,19,0.2541311,1,,-0.113509275,fag,350.92,0.77,2.545208121,-0.113509275,2.546444,0.2479733,
faggot,2.545307,2.560803002,0,0,1,0.2491385,1,,1.152288344,faggot,363.75,14.2,2.560803002,1.152288344,2.561995,1.181844,
fahrenheit,NaN,2.079253622,4.95,3.8,0,NaN,1,,0.509202522,fahrenheit,120.02,3.23,2.079253622,0.509202522,NaN,NaN,
fail,3.098644,3.294437566,1.05,1,14,0.6187046,1,,2.184322266,fail,1969.87,152.87,3.294437566,2.184322266,3.294658,2.187154,
failed,3.166726,3.408807909,1.5,1.1,10,0.6769552,2,,2.618905374,failed,2563.35,415.82,3.408807909,2.618905374,3.408977,2.619949,
failing,2.440909,3.551013044,1.5,1.05,11,0.6256741,2,,3.299934192,failing,3556.42,1994.96,3.551013044,3.299934192,3.551135,3.300152,
fails,2.418301,3.065878353,1.4,1,12,0.6059498,2,,2.013763855,fails,1163.8,103.22,3.065878353,2.013763855,3.066251,2.017951,
failure,3.009451,2.772563729,2.8,2.1,0,0.6630461,2,,2.293053023,failure,592.33,196.36,2.772563729,2.293053023,2.773296,2.295259,
faint,2.675778,3.255530592,1.7,1.5,3,0.5154941,1,,2.427193884,faint,1801.07,267.42,3.255530592,2.427193884,3.255772,2.428815,
fair,3.684217,3.29601985,1.45,1,4,0.6647078,1,,2.354185299,fair,1977.06,226.04,3.29601985,2.354185299,3.296239,2.356102,
fairground,1.041393,1.986323777,4,3.65,0,0.3500803,2,,1.550228353,fairground,96.9,35.5,1.986323777,1.550228353,1.990783,1.562293,
fairness,2.021189,2.698022209,2.65,2,1,0.5346084,2,,2.372322729,fairness,498.91,235.68,2.698022209,2.372322729,2.698892,2.374162,
fairy,2.93044,2.84595957,1.7,1,3,0.5834663,1,,1.812579155,fairy,701.39,64.95,2.84595957,1.812579155,2.846578,1.819215,
fairytale,NaN,2.363499161,3.9,3.45,0,0.4164425,2,,0.822168079,fairytale,230.94,6.64,2.363499161,0.822168079,2.365376,0.8830934,
faith,3.373647,3.012887819,1.95,1.4,0,0.6502083,1,,1.950656883,faith,1030.12,89.26,3.012887819,1.950656883,3.013309,1.955495,
fake,3.26811,3.367735995,1.1,1,16,0.6052984,1,,2.949062943,fake,2332.04,889.33,3.367735995,2.949062943,3.367922,2.949551,
faker,1.94939,3.402584618,1.75,1.7,7,0.1936108,2,,2.419856659,faker,2526.88,262.94,3.402584618,2.419856659,3.402756,2.421505,
falcon,2.230449,2.931066117,2.3,2.15,0,0.5775815,1,,1.193958978,falcon,853.23,15.63,2.931066117,1.193958978,2.931575,1.220892,
fall,3.781396,3.467349079,1.3,1,13,0.6856677,1,,2.647001328,fall,2933.25,443.61,3.467349079,2.647001328,3.467497,2.647979,
fallen,2.936514,3.122346966,1.95,1.9,0,0.6321607,2,,2.628971005,fallen,1325.4,425.57,3.122346966,2.628971005,3.122675,2.62999,
falling,3.264346,3.568946428,1.8,1.45,9,0.6476091,2,,3.318720543,falling,3706.35,2083.15,3.568946428,3.318720543,3.569064,3.318929,
falls,3.114611,2.872866885,1.6,1.15,11,0.6597652,2,,2.412191655,falls,746.22,258.34,2.872866885,2.412191655,2.873448,2.41387,
FALSE,3.033021,3.140944632,2,1.75,0,0.6450191,1,,1.792041311,FALSE,1383.39,61.95,3.140944632,1.792041311,3.141258,1.798996,
fame,2.645422,3.533536932,1.15,1,13,0.6452812,1,,2.957592922,fame,3416.15,906.97,3.533536932,2.957592922,3.533664,2.958071,
familiar,3.245759,2.612476564,3.15,3.15,0,0.6388071,1,,2.199700339,familiar,409.71,158.38,2.612476564,2.199700339,2.613535,2.202434,
families,3.056905,2.854718881,2.85,2.9,0,0.6488665,2,,2.345902796,families,715.68,221.77,2.854718881,2.345902796,2.855325,2.347857,
family,4.25691,3.121871584,2.2,2.25,0,0.6839266,1,,2.60166895,family,1323.95,399.64,3.121871584,2.60166895,3.122199,2.602754,
famous,3.361161,2.868503373,2.8,2,0,0.681817,2,,2.252318933,famous,738.76,178.78,2.868503373,2.252318933,2.869091,2.254741,
fan,3.25358,3.282211865,1,1,20,0.6536447,1,,1.007320953,fan,1915.19,10.17,3.282211865,1.007320953,3.282439,1.048053,
fancy,3.249932,2.778115058,1.9,1.8,1,0.5645623,1,,1.820989176,fancy,599.95,66.22,2.778115058,1.820989176,2.778838,1.827499,
fang,1.995635,3.265280195,1.5,1.25,10,0.5228423,1,,1.848189117,fang,1841.96,70.5,3.265280195,1.848189117,3.265516,1.854306,
fangs,1.963788,2.686895339,1.7,1.65,6,0.4533209,2,,2.0003039,fangs,486.29,100.07,2.686895339,2.0003039,2.687787,2.004622,
fanny,2.419956,2.680978772,1.75,1.4,4,0.563572,1,,1.963126441,fanny,479.71,91.86,2.680978772,1.963126441,2.681883,1.967829,
fans,2.85248,3.182477424,1.45,1.3,12,0.6583256,2,,1.288249226,fans,1522.22,19.42,3.182477424,1.288249226,3.182763,1.310056,
fantasies,2.40824,2.829561056,3.45,2.8,0,0.5047697,3,,2.140633725,fantasies,675.4,138.24,2.829561056,2.140633725,2.830204,2.143764,
fantastic,3.307496,2.454677205,3.25,3.7,0,0.5899468,1,,1.782042417,fantastic,284.89,60.54,2.454677205,1.782042417,2.456199,1.789157,
fantasy,2.918555,2.771418433,2.95,2.65,0,0.6238883,2,,1.793301354,fantasy,590.77,62.13,2.771418433,1.793301354,2.772153,1.800236,
far,4.051538,2.971164477,1,1.05,7,0.692973,1,,2.703471938,far,935.76,505.21,2.971164477,2.703471938,2.971628,2.704331,
faraway,1.973128,2.740228432,2.7,3.95,0,0.3444856,2,,1.765594055,faraway,549.83,58.29,2.740228432,1.765594055,2.741018,1.772981,
farce,1.954243,3.100394672,1.8,1.7,1,0.4835168,1,,1.960185277,farce,1260.07,91.24,3.100394672,1.960185277,3.100739,1.964919,
fare,2.498311,3.580874818,1,1,12,0.5706468,1,,2.298656617,fare,3809.56,198.91,3.580874818,2.298656617,3.580989,2.300835,
farewell,2.683947,2.530468647,3.6,2.85,0,0.5669782,1,,1.326949994,farewell,339.21,21.23,2.530468647,1.326949994,2.531747,1.346939,
farm,3.185542,3.143598674,1.55,1.6,4,0.6589671,1,,2.145910834,farm,1391.87,139.93,3.143598674,2.145910834,3.143911,2.149003,
farmer,2.781755,3.349432952,1.75,1.8,4,0.6233491,2,,2.19240017,farmer,2235.8,155.74,3.349432952,2.19240017,3.349627,2.19518,
farmhouse,1.832509,2.096979495,2.95,3.35,0,0.5256631,2,,1.154423973,farmhouse,125.02,14.27,2.096979495,1.154423973,2.100439,1.183839,
farming,1.919078,3.540076584,1.85,1.9,3,0.6114874,2,,3.254618158,farming,3467.98,1797.29,3.540076584,3.254618158,3.540202,3.25486,
farmyard,1.041393,2.446381812,3.1,3.65,0,0.2804581,2,,1.555215405,farmyard,279.5,35.91,2.446381812,1.555215405,2.447933,1.567144,
fart,2.517196,3.166927181,1.3,1.35,8,0.2815308,1,,2.465278727,fart,1468.68,291.93,3.166927181,2.465278727,3.167223,2.466764,
farther,2.459392,3.295210722,1.9,1.9,0,0.5730129,2,,2.905704156,farther,1973.38,804.83,3.295210722,2.905704156,3.295431,2.906243,
fascinating,2.886491,2.834140834,3.35,3.75,0,0.5408708,2,,2.54835256,fascinating,682.56,353.47,2.834140834,2.54835256,2.834777,2.549579,
fascism,1.60206,2.677187053,2.8,2.95,0,0.5648417,2,,1.571475904,fascism,475.54,37.28,2.677187053,1.571475904,2.678099,1.582972,
fashion,2.981366,2.860457795,2.5,1.55,0,0.6625596,1,,2.460326422,fashion,725.2,288.62,2.860457795,2.460326422,2.861056,2.461829,
fast,3.84578,3.517429483,1.3,1.05,9,0.6661257,1,,2.839836146,fast,3291.77,691.57,3.517429483,2.839836146,3.517561,2.840464,
fastball,1.778151,2.35837273,NaN,NaN,NaN,NaN,NaN,,1.519696767,fastball,228.23,33.09,2.35837273,1.519696767,NaN,NaN,
fasten,2.281033,3.177597095,1.8,1.75,1,0.3192999,2,,2.478321144,fasten,1505.21,300.83,3.177597095,2.478321144,3.177886,2.479762,
faster,3.349083,3.416322574,1.5,1.5,5,0.6296556,2,,2.793517992,faster,2608.09,621.61,3.416322574,2.793517992,3.416489,2.794216,
fastest,2.475671,3.012339398,2.15,2.65,1,0.5771,2,,2.415123655,fastest,1028.82,260.09,3.012339398,2.415123655,3.012761,2.41679,
fat,3.607669,2.786289917,1,1,16,0.6164991,1,,1.957750911,fat,611.35,90.73,2.786289917,1.957750911,2.787,1.962511,
fate,3.138618,3.012786624,1,1,17,0.6314401,1,,2.478653057,fate,1029.88,301.06,3.012786624,2.478653057,3.013208,2.480093,
father,4.451479,3.452592891,1.65,1.7,0,0.675574,1,,3.062247204,father,2835.26,1154.11,3.452592891,3.062247204,3.452746,3.062623,
fatigue,1.973128,2.565399131,2.8,2.6,0,0.562668,1,,1.694692926,fatigue,367.62,49.51,2.565399131,1.694692926,2.566579,1.703377,
fatso,2.209515,2.713868391,1.95,1.95,0,0.2094222,2,,0.902546779,fatso,517.45,7.99,2.713868391,0.902546779,NaN,NaN,
fatten,1.380211,3.305620033,1.8,1.7,3,0.2116903,2,,2.715644067,fatten,2021.25,519.57,3.305620033,2.715644067,3.305835,2.716479,
fatty,2.416641,2.881658501,1.8,1.5,6,0.5727159,2,,1.651278014,fatty,761.48,44.8,2.881658501,1.651278014,2.882228,1.660865,
faucet,1.869232,2.878986862,2.25,1.95,0,0.2498218,1,,0.960470778,faucet,756.81,9.13,2.878986862,0.960470778,2.87956,1.005609,
fault,3.725176,3.193183057,1.8,1.35,1,0.5924791,1,,1.866464566,fault,1560.21,73.53,3.193183057,1.866464566,3.193461,1.872331,
faux,1.623249,2.6776252,NaN,NaN,NaN,NaN,NaN,,-1.22184875,faux,476.02,0.06,2.6776252,-1.22184875,NaN,NaN,
favor,3.557507,2.514215596,1.85,1.5,1,0.6527457,1,,0.411619706,favor,326.75,2.58,2.514215596,0.411619706,NaN,NaN,
favorite,3.481872,2.770174278,2.95,2.45,0,0.641552,2,,2.061113054,favorite,589.08,115.11,2.770174278,2.061113054,NaN,NaN,
favour,2.977266,2.790988475,0,0,1,0.6292834,1,,2.261024834,favour,618,182.4,2.790988475,2.261024834,2.791691,2.263399,
favourite,2.872739,2.630366846,0,0,0,0.6109121,2,,2.023951707,favourite,426.94,105.67,2.630366846,2.023951707,2.631383,2.028042,
fawn,1.568202,3.007239809,1.6,1,6,0.3669446,1,,1.521138084,fawn,1016.81,33.2,3.007239809,1.521138084,3.007667,1.534026,
fay,2.421604,3.375910406,0,0,13,0.5480607,1,,0.292256071,fay,2376.35,1.96,3.375910406,0.292256071,3.376093,0.4712917,
faze,1.361728,2.736516016,1.4,1,11,0.2545762,1,,1.266466895,faze,545.15,18.47,2.736516016,1.266466895,2.737312,1.289366,
fear,3.547036,3.353823941,1.25,1,9,0.6517651,1,,2.87636797,fear,2258.52,752.26,3.353823941,2.87636797,3.354016,2.876945,
feared,2.462398,3.41145471,1.75,1.15,4,0.6031295,2,,2.437972408,feared,2579.02,274.14,3.41145471,2.437972408,3.411623,2.439554,
fearful,2.045323,2.834198095,2.95,2.05,1,0.542572,2,,2.112705521,fearful,682.65,129.63,2.834198095,2.112705521,2.834834,2.116043,
feasible,1.50515,2.835633507,2.95,2.65,0,0.5606984,1,,2.530314982,feasible,684.91,339.09,2.835633507,2.530314982,2.836267,2.531594,
