Word,Freq_SUBTLEXUS,BigramF_Avg_C_Log,OLD20,PLD20,Phonographic_N,Sem_N_D,NMorph,,TrigramF_Avg_C_Log,STRING,N2_F,N3_F,N2_F_log10,N3_F_log10,BigramF_Avg_C_Log_SCOPE,TrigramF_Avg_C_Log_SCOPE,
accidental,2.187520721,2.387015887,3.35,4.2,1,0.56737864,3,,1.768933942,accidental,243.79,58.74,2.387015887,1.768933942,2.388793672,1.776265218,
accidentally,2.653212514,2.241820319,4.3,4.55,0,0.61562651,4,,1.854306042,accidentally,174.51,71.5,2.241820319,1.854306042,2.244301866,1.860338007,
accidents,2.532754379,2.513177632,3.05,3.7,0,0.58045411,3,,2.131779009,accidents,325.97,135.45,2.513177632,2.131779009,2.514507907,2.13497354,
accolade,0.301029996,2.465828815,3.45,2.8,0,0.41571608,1,,1.755951041,accolade,292.3,57.01,2.465828815,1.755951041,2.467312063,1.763502865,
accommodate,2.041392685,2.08557597,4.1,3.45,0,0.61086661,1,,1.813647695,accommodate,121.78,65.11,2.08557597,1.813647695,2.089127629,1.820267157,
accompany,2.385606274,2.321287665,3.7,3.05,0,0.58628911,3,,1.703377369,accompany,209.55,50.51,2.321287665,1.703377369,2.323355246,1.71189155,
accomplice,2.336459734,2.390458181,3.65,3.35,0,0.48790464,1,,1.546666025,accomplice,245.73,35.21,2.390458181,1.546666025,2.392221959,1.558828525,
accomplish,2.475671188,2.24345973,3.75,3.4,0,0.57219034,1,,1.714581209,accomplish,175.17,51.83,2.24345973,1.714581209,2.245931954,1.722880611,
accomplished,2.58546073,1.994976674,4,3.4,0,0.63604474,2,,1.466719372,accomplished,98.85,29.29,1.994976674,1.466719372,1.999348069,1.481299273,
according,3.329601248,3.080023684,2.7,1.9,0,0.68590325,3,,2.834592353,according,1202.33,683.27,3.080023684,2.834592353,3.080384744,2.8352275,
accordion,1.832508913,2.870005717,3.6,2.95,0,0.56421578,1,,2.553980065,accordion,741.32,358.08,2.870005717,2.553980065,2.870591162,2.555191217,
account,3.358125285,2.775544917,2.6,2.1,0,0.67392331,1,,2.124960451,account,596.41,133.34,2.775544917,2.124960451,2.776272488,2.128205344,
accountant,2.499687083,2.558360516,3.6,3.5,0,0.5557698,2,,1.936965897,accountant,361.71,86.49,2.558360516,1.936965897,2.559559529,1.941958417,
accounts,2.728353782,2.664190526,2.65,2.4,0,0.65600622,2,,2.169997537,accounts,461.52,147.91,2.664190526,2.169997537,2.665130517,2.172923864,
accurate,2.603144373,2.710303572,2.75,2.75,0,0.62984389,2,,2.295127085,accurate,513.22,197.3,2.710303572,2.295127085,2.711148964,2.297322714,
accuse,2.463892989,2.704219175,2.25,1.7,0,0.51231676,1,,1.959136831,accuse,506.08,91.02,2.704219175,1.959136831,2.705076482,1.963882229,
accused,2.824125834,3.196178949,2.35,1.95,1,0.64003831,2,,2.28010011,accused,1571.01,190.59,3.196178949,2.28010011,3.196455304,2.282372837,
accusing,2.403120521,3.268517129,2.6,2.4,0,0.55867034,2,,2.983233757,accusing,1855.74,962.13,3.268517129,2.983233757,3.268751094,2.983684911,
ace,2.876217841,2.098643726,1,1,8,0.60788864,1,,0.59439255,ace,125.5,3.93,2.098643726,0.59439255,2.102090526,0.692846919,
ache,2.10720997,1.536179532,1.65,1,0,0.29616258,1,,0.709269961,ache,34.37,5.12,1.536179532,0.709269961,1.54863506,0.786751422,
achieve,2.574031268,2.622286572,2.65,2.3,0,0.65139014,1,,2.193430724,achieve,419.07,156.11,2.622286572,2.193430724,2.623321667,2.196203829,
acid,2.706717782,3.033045594,1.7,1.85,0,0.60543185,1,,1.340245762,acid,1079.06,21.89,3.033045594,1.340245762,3.033447882,1.359645793,
acknowledge,2.496929648,1.536179532,4.35,3.4,0,0.56495512,3,,1.122215878,acknowledge,34.37,13.25,1.536179532,1.122215878,1.54863506,1.153814864,
acorn,1.579783597,2.426136989,1.8,1.85,1,0.47547346,1,,1.240798771,acorn,266.77,17.41,2.426136989,1.240798771,2.427761919,1.265053789,
acquaintance,2.437750563,1.90579588,5.3,3.85,0,0.55980682,2,,1.629715333,acquaintance,80.5,42.63,1.90579588,1.629715333,1.911157609,1.639785213,
acquiesce,0.602059991,2.173972533,3.6,3.55,0,0.25508621,1,,1.090258053,acquiesce,149.27,12.31,2.173972533,1.090258053,2.176872286,1.124178055,
acquiescence,0.77815125,1.997430074,4.4,4.05,0,0.28012189,2,,1.686993566,acquiescence,99.41,48.64,1.997430074,1.686993566,2.001776967,1.695831773,
acquire,2.133538908,2.497441095,2.55,1.8,0,0.61389869,2,,1.823734988,acquire,314.37,66.64,2.497441095,1.823734988,2.498820378,1.830203599,
acres,2.371067862,3.090261581,1.8,1.85,0,0.58897108,2,,1.732876041,acres,1231.01,54.06,3.090261581,1.732876041,3.090614233,1.740836207,
acrobat,1.491361694,2.404611383,2.85,2.85,0,0.32873482,1,,0.278753601,acrobat,253.87,1.9,2.404611383,0.278753601,2.406318719,0.462397998,
acronym,1.204119983,2.433689846,3,3.05,0,0.55934441,2,,0.783903579,acronym,271.45,6.08,2.433689846,0.783903579,2.435286812,0.850033258,
across,3.681422156,2.848453925,2.15,2.2,0,0.68657857,1,,2.452736853,across,705.43,283.62,2.848453925,2.452736853,2.849069134,2.454265414,
act,3.745543202,2.278799314,1.5,1,5,0.68212146,1,,2.274019223,act,190.02,187.94,2.278799314,2.274019223,2.281078841,2.276323911,
acted,2.739572344,3.200294968,1.95,1.95,1,0.6401028,2,,1.929776433,acted,1585.97,85.07,3.200294968,1.929776433,3.200568717,1.934851803,
acting,3.427486109,3.323577957,1.95,1.95,0,0.67094499,2,,3.057848606,acting,2106.58,1142.48,3.323577957,3.057848606,3.323784069,3.058228573,
action,3.493597449,2.970058491,1.85,1.8,0,0.68789136,2,,2.554258929,action,933.38,358.31,2.970058491,2.554258929,2.970523534,2.555469304,
actions,2.7930916,2.77978402,1.9,1.9,0,0.66676998,3,,2.32407658,actions,602.26,210.9,2.77978402,2.32407658,2.78050453,2.326130957,
activate,2.378397901,2.6507251,2.6,2.75,0,0.5567013,3,,2.158754387,activate,447.43,144.13,2.6507251,2.158754387,2.651694659,2.161757195,
active,2.767155866,2.723275021,2.1,2.1,0,0.68182045,2,,2.357153176,active,528.78,227.59,2.723275021,2.357153176,2.724095559,2.359057228,
activities,2.643452676,2.848952311,3.35,3.5,0,0.67842519,4,,2.291035675,activities,706.24,195.45,2.848952311,2.291035675,2.849566815,2.293252033,
activity,2.818225894,2.735973955,2.55,3,0,0.67237037,3,,2.348343811,activity,544.47,223.02,2.735973955,2.348343811,2.73677087,2.350286793,
actor,3.128399269,2.343428289,1.9,1.75,1,0.63978195,2,,1.852418993,actor,220.51,71.19,2.343428289,1.852418993,2.345393337,1.858477042,
actors,2.809559715,2.927673134,1.9,1.9,0,0.64211047,3,,2.156882164,actors,846.59,143.51,2.927673134,2.156882164,2.928185824,2.159897901,
actress,2.912753304,2.704219175,2.35,2.2,0,0.62082785,2,,2.292455447,actress,506.08,196.09,2.704219175,2.292455447,2.705076482,2.29466459,
acts,2.804139432,2.366982976,1.75,1.65,1,0.67289054,2,,1.573103783,acts,232.8,37.42,2.366982976,1.573103783,2.368844507,1.584557361,
actual,2.946943271,2.866641721,2.45,2.65,0,0.6767714,2,,2.32275666,actual,735.6,210.26,2.866641721,2.32275666,2.867231715,2.324817275,
actually,4.215901813,2.809532781,2.65,2.9,0,0.69180346,3,,2.413383597,actually,644.96,259.05,2.809532781,2.413383597,2.810205626,2.415056858,
ad,2.841984805,1.721893016,1,1,7,0.65607208,1,,NaN,ad,52.71,NA,1.721893016,#VALUE!,NaN,NaN,
adam,3.276691529,1.965342836,1.85,1.6,0,0.65563428,1,,1.622006673,adam,92.33,41.88,1.965342836,1.622006673,1.970021266,1.632254777,
adamant,1.707570176,2.735630832,2.95,2.5,0,0.42754883,1,,1.914607568,adamant,544.04,82.15,2.735630832,1.914607568,2.736428376,1.919862254,
adams,NaN,2.518895425,0,0,0,NaN,1,,1.273695588,adams,330.29,18.78,2.518895425,1.273695588,NaN,NaN,
add,3.227115083,2.057552001,1.6,1,3,0.65009862,1,,1.91307174,add,114.17,81.86,2.057552001,1.91307174,2.061339367,1.918344929,
added,2.692846919,3.06651973,1.8,1.5,1,0.68478918,2,,2.169968174,added,1165.52,147.9,3.06651973,2.169968174,3.066892189,2.172894698,
addict,2.437750563,2.682397815,2.45,1.9,0,0.4539499,1,,1.343802333,addict,481.28,22.07,2.682397815,1.343802333,2.683299252,1.363047595,
addition,2.597695186,3.009081036,2.35,1.75,1,0.6968472,2,,2.714932993,addition,1021.13,518.72,3.009081036,2.714932993,3.009506135,2.71576943,
additional,2.478566496,2.44984851,3.4,2.65,0,0.6866858,3,,1.916401304,additional,281.74,82.49,2.44984851,1.916401304,2.451387254,1.921634461,
address,3.426023016,2.673408004,2.45,2.1,0,0.65851635,1,,2.289031235,address,471.42,194.55,2.673408004,2.289031235,2.674328275,2.29125782,
ade,NaN,1.652149605,0,0,9,NaN,1,,NaN,ade,44.89,0,1.652149605,#NUM!,NaN,NaN,
adjective,1.414973348,2.805208512,2.9,3.7,0,0.53878039,1,,2.42401545,adjective,638.57,265.47,2.805208512,2.42401545,2.805888084,2.425648322,
adjourned,2.399673721,2.883729554,3.1,2.6,0,0.37304646,3,,2.086146191,adjourned,765.12,121.94,2.883729554,2.086146191,2.8842968,2.089693209,
adjudication,1,2.535433376,3.9,4.9,0,0.38554204,4,,2.384425104,adjudication,343.11,242.34,2.535433376,2.384425104,2.536697294,2.386213504,
