Word	BiphonProb
a	0
a	0
aah	NA
aardvark	0.0012394909283715636
aaron	0.006507148279466694
abacus	0.006582478906256623
abandon	0.016051437986700567
abandoned	0.01560238501778627
abbott	0.001573130557330311
abby	0.0005771409105028769
abdomen	0.015894928506224704
abducted	0.008131410847052616
abducted	0.008131410847052616
abilities	0.0073502527185402775
ability	0.007241268925092647
able	0.0021758828794114274
aboard	0.0027439536816653764
abominable	0.020673388082196414
abort	0.003042953602763344
abortion	0.015092852474604087
about	0.0011396441552211092
above	0.0014729316614815148
abracadabra	0.004037337865695766
abraham	0.0025446863060044813
abroad	0.00094126572361052
absence	0.014757895440003835
absent	0.016117252429636734
absolute	0.009492562807307835
absolutely	0.012441483341653896
abstain	0.0072451375847679775
absurd	0.002480675209966746
abuse	0.0011041083832936138
abuse	0.0011041083832936138
abyss	0.002055123844916993
academic	0.004032797879460373
academy	0.004386211987981317
accelerando	NA
accelerate	0.004983042811397013
accent	0.007727026405914654
accept	0.004504429768588115
accept	0.004504429768588115
acceptable	0.016256694496217604
accepted	0.007562785788885478
access	0.005361731263474391
accident	0.020527851568694893
accidental	0.011986442804128056
accidentally	0.015532244954055367
accidents	0.020316175809035365
accolade	0.0024356440976478423
accommodate	0.005892057191253163
accompany	0.011929742866345584
accomplice	0.0045606038564857355
accomplish	0.0032980644472538484
accomplished	0.003170076747323166
according	0.00770583177969563
accordion	0.017450993082939185
account	0.0030028983722326387
accountant	0.01883310200279697
accounts	0.004480329600894147
accurate	0.005981461480772143
accuse	0.0013293251612143805
accused	0.0013648963549607268
accusing	0.006347409006010776
ace	0.0001744850343435518
ache	0.00015044237919612806
achieve	0.0005446193719679161
acid	0.0016548905682277557
acknowledge	0.0019267476905628284
acorn	0.0016600425540783624
acquaintance	0.02004964969154232
acquiesce	0.002735564404456944
acquiescence	0.017269725238439462
acquire	0.0015176940952008923
acres	0.0006907970417821587
acrobat	0.0037991410063877595
acronym	0.01260411682689658
across	0.0015879291536913262
act	0.002304823309879438
acted	0.006234067081776902
acting	0.014356058549562888
action	0.01488132149289115
actions	0.014004509484289756
activate	0.004706683051448395
active	0.00340285461446557
activities	0.0060961443440389835
activity	0.0062888000011663715
actor	0.005202372907120983
actors	0.006360321004523049
actress	0.008328737369012804
acts	0.006285703308095827
actual	0.008419724481184793
actually	0.010016189903828323
ad	0.002551846826460505
adam	0.002579954948553232
adamant	0.015650629209666672
adams	0.002591791553838746
add	0.002551846826460505
added	0.0020983344591940117
addict	0.0031289467214018936
addict	0.0031289467214018936
addition	0.01376767397884085
additional	0.018269563502340214
address	0.002632684729772563
ade	0.00013535460850112624
adjective	0.004267053830021622
adjourned	0.0030537354683019386
adjudication	0.026072315577331442
adjust	0.004893042651130229
administration	0.030541386676796553
admiral	0.010303389362046556
admire	0.0013508611002012853
